,Unnamed: 1,2017,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60
22,Lambeth,140,1,2,4,8,16,31,61,122,239,458,860,1588,2632,3986,5320,6164,6602,6746,6706,6523,6134,5408,4364,3006,1664,805,337,132,55,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lewisham,70,1,2,4,8,15,30,60,119,229,441,796,1355,2056,2672,3110,3325,3376,3354,3256,3051,2700,2142,1439,819,374,144,63,26,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Merton,45,1,2,4,8,16,31,62,119,232,431,740,1174,1602,1925,2096,2170,2171,2124,2013,1817,1508,1074,644,317,138,49,17,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Newham,50,1,2,4,8,16,32,63,125,245,447,780,1242,1730,2108,2319,2400,2414,2365,2250,2051,1717,1255,765,383,164,67,22,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Redbridge,55,1,2,4,8,16,32,63,122,236,445,815,1324,1860,2280,2539,2647,2661,2617,2507,2304,1933,1424,886,462,195,71,26,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Richmond upon Thames,125,1,2,4,8,16,32,64,127,249,481,913,1640,2725,3971,5056,5702,5987,6047,5972,5758,5333,4606,3519,2271,1178,516,199,76,29,11,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Southwark,175,1,2,4,8,16,32,64,128,252,496,947,1744,3011,4688,6343,7530,8179,8423,8421,8220,7789,6998,5734,4053,2391,1188,507,199,77,34,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sutton,55,1,2,4,8,16,32,64,128,245,459,813,1301,1832,2270,2510,2630,2651,2610,2501,2291,1936,1447,914,472,224,88,35,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Tower Hamlets,120,1,2,4,8,16,32,64,128,250,485,898,1591,2645,3829,4850,5470,5750,5805,5721,5502,5099,4405,3350,2162,1133,497,185,66,28,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Waltham Forest,45,1,2,4,8,16,32,64,124,236,444,765,1199,1641,1954,2122,2170,2169,2120,2011,1806,1484,1049,605,288,112,48,17,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Wandsworth,130,1,2,4,8,16,32,64,127,250,489,925,1653,2750,4017,5151,5870,6198,6268,6205,6001,5568,4843,3746,2475,1333,598,238,105,45,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Westminster,425,1,2,4,8,16,32,64,128,253,499,978,1889,3537,6284,10079,14254,17666,19547,20359,20493,20174,19317,17691,14948,11149,6958,3515,1571,634,254,93,38,14,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
